City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vorkuta,67.5,64,-11.86,89,100,2.04,RU,1701479592
83,tura,25.5198,90.2201,17.77,72,75,1.33,IN,1701479593
84,crucecita,-28.95,-58.9833,28.56,75,4,3.77,AR,1701479593
85,northam,51.0333,-4.2167,-2.64,83,5,1.28,GB,1701479594
86,taupo,-38.6833,176.0833,18.41,50,100,0.46,NZ,1701479365
87,waingapu,-9.6567,120.2641,30.15,67,51,0.96,ID,1701479594
88,udachny,66.4167,112.4,-30.31,74,100,3.32,RU,1701479399
89,antsiranana,-12.2787,49.2917,25.49,81,100,1.07,MG,1701479594
90,vila franca do campo,37.7167,-25.4333,17.23,99,100,4.48,PT,1701479594
91,queenstown,-31.8976,26.8753,14.34,54,56,0.59,ZA,1701479346
92,red deer,52.2668,-113.802,-12.62,96,100,1.23,CA,1701479472
93,avarua,-21.2078,-159.775,27.03,83,100,7.72,CK,1701479375
94,marghita,47.35,22.3333,4.96,93,100,0.59,RO,1701479595
95,sos'va,59.1766,61.8558,-8.86,95,100,1.34,RU,1701479595
96,diu,20.7141,70.9822,21.94,54,0,4.4,IN,1701479596
97,bilibino,68.0546,166.4372,-25.29,94,100,1.67,RU,1701479596
98,tosontsengel,48.7567,98.2839,-17.39,82,100,0.6,MN,1701479596
99,lodwar,3.1191,35.5973,28.31,46,4,3.84,KE,1701479597
100,tazovsky,67.4667,78.7,-14.12,95,100,3.05,RU,1701479597
101,bathsheba,13.2167,-59.5167,26.34,83,20,6.69,BB,1701479597
102,yellowknife,62.456,-114.3525,-18.71,84,100,3.09,CA,1701479557
103,ribeira grande,38.5167,-28.7,17.65,84,100,8.49,PT,1701479598
104,carnarvon,-24.8667,113.6333,24.67,71,9,6.97,AU,1701479598
105,rio grande,-32.035,-52.0986,23.3,91,100,8.44,BR,1701479598
106,vrontados,38.4089,26.1328,18.41,85,100,10.37,GR,1701479598
107,talnakh,69.4865,88.3972,-23.22,89,6,2.44,RU,1701479599
108,margate,51.3813,1.3862,2.61,84,100,0.89,GB,1701479599
109,puerto ayora,-0.7393,-90.3518,24.75,92,100,3.58,EC,1701479599
110,port mathurin,-19.6833,63.4167,25.33,83,9,5.79,MU,1701479599
111,pasuquin,18.3328,120.6177,28.09,69,6,6.36,PH,1701479600
112,puerto baquerizo moreno,-0.9,-89.6,24.27,80,99,5.91,EC,1701479600
113,tazacorte,28.629,-17.9293,20.54,87,100,3.6,ES,1701479600
114,isafjordur,66.0755,-23.124,-3.89,82,68,1.02,IS,1701479601
115,laguna,38.421,-121.4238,15.16,51,100,2.57,US,1701479601
116,sinjar,36.3209,41.8754,10.68,52,0,1.49,IQ,1701479601
117,port lincoln,-34.7333,135.8667,18.34,54,14,4.25,AU,1701479601
118,vadso,70.0744,29.7487,-4.91,86,100,2.57,NO,1701479602
119,bubaque,11.2833,-15.8333,28.06,63,100,5.28,GW,1701479602
